Best Historical Mystery,https://goodreads.com/list/show/112.Best_Historical_Mystery,"1,802 books
    
    4,313 voters"
Title,List,Listfulldetails
Beautiful Book Covers of 2011,https://goodreads.com/list/show/5512.Beautiful_Book_Covers_of_2011,"728 books
    
    4,303 voters"
Sci-Fi and Fantasy Must Reads,https://goodreads.com/list/show/2700.Sci_Fi_and_Fantasy_Must_Reads,"3,587 books
    
    4,283 voters"
Best Science Fiction Ever Written.,https://goodreads.com/list/show/164451.Best_Science_Fiction_Ever_Written_,"2,034 books
    
    4,251 voters"
Best Mafia/Mob Romance Books,https://goodreads.com/list/show/20862.Best_Mafia_Mob_Romance_Books,"1,025 books
    
    4,234 voters"
Books that Changed the Way You View Life,https://goodreads.com/list/show/1232.Books_that_Changed_the_Way_You_View_Life,"6,712 books
    
    4,231 voters"
"The ""Can't Wait"" Books of 2017",https://goodreads.com/list/show/102350.The_Can_t_Wait_Books_of_2017,"1,295 books
    
    4,187 voters"
Romance Debuts 2013,https://goodreads.com/list/show/40930.Romance_Debuts_2013,"463 books
    
    4,139 voters"
TO DIE FOR 2012 - 2013 STAND-ALONES,https://goodreads.com/list/show/18871.TO_DIE_FOR_2012_2013_STAND_ALONES,"610 books
    
    4,038 voters"
Favorite Gay Couples,https://goodreads.com/list/show/5547.Favorite_Gay_Couples,"3,434 books
    
    4,008 voters"
Best Manga Book Ever,https://goodreads.com/list/show/489._Best_Manga_Book_Ever,"1,190 books
    
    3,898 voters"
Title,List,Listfulldetails
Goodreads Choice Awards 2021 (eligible for write-in only),https://goodreads.com/list/show/156769.Goodreads_Choice_Awards_2021_eligible_for_write_in_only_,"2,677 books
    
    3,897 voters"
Indie Books - Paranormal Fiction,https://goodreads.com/list/show/5974.Indie_Books_Paranormal_Fiction,"3,031 books
    
    3,849 voters"
Books (Besides the Bible) Recommended for Christian Readers,https://goodreads.com/list/show/946.Books_Besides_the_Bible_Recommended_for_Christian_Readers,"4,647 books
    
    3,821 voters"
Best falling in love with a millionaire/billionaire/king/wealthy man,https://goodreads.com/list/show/24895.Best_falling_in_love_with_a_millionaire_billionaire_king_wealthy_man,"1,650 books
    
    3,797 voters"
Best boy hates girl then loves her books,https://goodreads.com/list/show/17819.Best_boy_hates_girl_then_loves_her_books,"746 books
    
    3,783 voters"
Top 100 Middle School Must-Reads,https://goodreads.com/list/show/1606.Top_100_Middle_School_Must_Reads,"2,200 books
    
    3,760 voters"
I Marked My Calendar For This Book's Release,https://goodreads.com/list/show/19793.I_Marked_My_Calendar_For_This_Book_s_Release,"1,371 books
    
    3,754 voters"
Best Urban Fantasy SERIES,https://goodreads.com/list/show/26494.Best_Urban_Fantasy_SERIES_,"645 books
    
    3,727 voters"
Books with the Hottest Sex!,https://goodreads.com/list/show/4579.Books_with_the_Hottest_Sex_,"3,610 books
    
    3,708 voters"
Indie Authors Everybody Should Read,https://goodreads.com/list/show/25972.Indie_Authors_Everybody_Should_Read,"3,257 books
    
    3,690 voters"
Title,List,Listfulldetails
Best of Stephen King,https://goodreads.com/list/show/309.Best_of_Stephen_King,"147 books
    
    3,684 voters"
Can't Wait Books of 2019,https://goodreads.com/list/show/117856.Can_t_Wait_Books_of_2019,"1,475 books
    
    3,676 voters"
Best Science Books - Non-Fiction Only,https://goodreads.com/list/show/692.Best_Science_Books_Non_Fiction_Only,"1,687 books
    
    3,648 voters"
Causes of Ugly Crying,https://goodreads.com/list/show/44459.Causes_of_Ugly_Crying,"1,350 books
    
    3,642 voters"
Best Independent Novels,https://goodreads.com/list/show/1264.Best_Independent_Novels,"2,710 books
    
    3,636 voters"
Upcoming Books of 2012 & 2013,https://goodreads.com/list/show/15448.Upcoming_Books_of_2012_2013,"2,257 books
    
    3,628 voters"
NEW ADULT 2013,https://goodreads.com/list/show/32262.NEW_ADULT_2013,"1,060 books
    
    3,620 voters"
Best Gay Fiction,https://goodreads.com/list/show/445.Best_Gay_Fiction,"2,316 books
    
    3,607 voters"
Books With a Goodreads Average Rating of 4.5 and above and With At Least 100 Ratings,https://goodreads.com/list/show/10198.Books_With_a_Goodreads_Average_Rating_of_4_5_and_above_and_With_At_Least_100_Ratings,"2,052 books
    
    3,589 voters"
Must Read Non-Fiction,https://goodreads.com/list/show/735.Must_Read_Non_Fiction,"3,722 books
    
    3,588 voters"
Title,List,Listfulldetails
The Darker Side,https://goodreads.com/list/show/17253.The_Darker_Side,"1,200 books
    
    3,578 voters"
